[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | INFO: Tag[ route_check ] --START--
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | INFO: Run CheckRoute Behavior [ RunTime:0.001129s ]
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | INFO: Tag[ route_check ] --END-- [ RunTime:0.001279s ]
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | INFO: Tag[ app_begin ] --START--
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001510s ]
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001752s ]
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004058s ]
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE ( `tutor` LIKE 'jingwhale' ) LIMIT 1   [ RunTime:0.000332s ]
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | SQL: SELECT `id`,`title`,`author`,`createtime`,`labname`,`abstract` FROM `think_article` WHERE ( `tutor` LIKE 'jingwhale' ) ORDER BY id desc LIMIT 0,4   [ RunTime:0.001374s ]
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | INFO: Tag[ view_template ] --START--
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | INFO: Run LocationTemplate Behavior [ RunTime:0.001207s ]
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | INFO: Tag[ view_template ] --END-- [ RunTime:0.001328s ]
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | INFO: Tag[ view_parse ] --START--
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T11:55:16+08:00 ] /xxx/admin.php/Article/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
