[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Tag[ route_check ] --START--
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Run CheckRoute Behavior [ RunTime:0.001115s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001279s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Tag[ app_begin ] --START--
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000866s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001035s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | SQL: SHOW COLUMNS FROM `think_admin` [ RunTime:0.002902s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | SQL: UPDATE `think_admin` SET `sum`=sum-1 WHERE ( `username` LIKE 'jingwhale' ) [ RunTime:0.000371s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.006938s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | SQL: DELETE FROM `think_article` WHERE ( `id` = '4' ) [ RunTime:0.012702s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Tag[ view_template ] --START--
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Run LocationTemplate Behavior [ RunTime:0.002065s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002268s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Tag[ view_parse ] --START--
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
