[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Tag[ route_check ] --START--
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Run CheckRoute Behavior [ RunTime:0.001261s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001463s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Tag[ app_begin ] --START--
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001937s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002248s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | SQL: SHOW COLUMNS FROM `think_admin` [ RunTime:0.003149s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | SQL: SELECT * FROM `think_admin` WHERE id=18 LIMIT 1   [ RunTime:0.000478s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Tag[ view_template ] --START--
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Run LocationTemplate Behavior [ RunTime:0.001318s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001488s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Tag[ view_parse ] --START--
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
