[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ route_check ] --START--
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | INFO: Run CheckRoute Behavior [ RunTime:0.000828s ]
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ route_check ] --END-- [ RunTime:0.000987s ]
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ app_begin ] --START--
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000745s ]
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000860s ]
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | SQL: SHOW COLUMNS FROM `think_news` [ RunTime:0.002894s ]
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | SQL: SELECT COUNT(*) AS tp_count FROM `think_news` LIMIT 1   [ RunTime:0.000383s ]
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | SQL: SELECT COUNT(*) AS tp_count FROM `think_news` WHERE ( `author` LIKE 'jingwhale' ) LIMIT 1   [ RunTime:0.000558s ]
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | SQL: SELECT `id`,`subject`,`author`,`createtime`,`lastmodifytime`,`sum` FROM `think_news` WHERE ( `author` LIKE 'jingwhale' ) ORDER BY id desc LIMIT 0,8   [ RunTime:0.000350s ]
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ view_template ] --START--
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | INFO: Run LocationTemplate Behavior [ RunTime:0.000767s ]
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ view_template ] --END-- [ RunTime:0.000871s ]
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | INFO: Tag[ view_parse ] --START--
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:26:34+08:00 ] /xxx/admin.php/News/self | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
