[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | INFO: Tag[ route_check ] --START--
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | INFO: Run CheckRoute Behavior [ RunTime:0.001007s ]
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | INFO: Tag[ route_check ] --END-- [ RunTime:0.001181s ]
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | INFO: Tag[ app_begin ] --START--
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001297s ]
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001423s ]
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | SQL: SHOW COLUMNS FROM `think_news` [ RunTime:0.002918s ]
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | SQL: SELECT * FROM `think_news` WHERE id=84 LIMIT 1   [ RunTime:0.000449s ]
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | SQL: UPDATE `think_news` SET `sum`=sum+1 WHERE id=84 [ RunTime:0.000631s ]
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | INFO: Tag[ view_template ] --START--
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | INFO: Run LocationTemplate Behavior [ RunTime:0.001063s ]
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | INFO: Tag[ view_template ] --END-- [ RunTime:0.001180s ]
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | INFO: Tag[ view_parse ] --START--
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:16:58+08:00 ] /xxx/admin.php/News/look/id/84/author/whale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
