[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Tag[ route_check ] --START--
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Run CheckRoute Behavior [ RunTime:0.001982s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Tag[ route_check ] --END-- [ RunTime:0.002428s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Tag[ app_begin ] --START--
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001086s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001376s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | SQL: SHOW COLUMNS FROM `think_news` [ RunTime:0.002889s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | SQL: SELECT * FROM `think_news` WHERE id=93 LIMIT 1   [ RunTime:0.000314s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Tag[ view_template ] --START--
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Run LocationTemplate Behavior [ RunTime:0.000743s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Tag[ view_template ] --END-- [ RunTime:0.000859s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Tag[ view_parse ] --START--
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
