[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ route_check ] --START--
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | INFO: Run CheckRoute Behavior [ RunTime:0.001349s ]
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001666s ]
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001201s ]
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001450s ]
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.003790s ]
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.000275s ]
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | SQL: SELECT `id`,`title`,`author`,`createtime`,`labname`,`abstract`,`sum` FROM `think_article` ORDER BY id desc LIMIT 0,4   [ RunTime:0.000340s ]
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ view_template ] --START--
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000729s ]
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000843s ]
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-13T12:01:25+08:00 ] /xxx/admin.php/Article/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
