[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | INFO: Tag[ route_check ] --START--
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | INFO: Run CheckRoute Behavior [ RunTime:0.000845s ]
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | INFO: Tag[ route_check ] --END-- [ RunTime:0.001011s ]
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | INFO: Tag[ app_begin ] --START--
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000748s ]
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000874s ]
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.002707s ]
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | SQL: SELECT * FROM `think_article` WHERE id=1 LIMIT 1   [ RunTime:0.000397s ]
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | SQL: SHOW COLUMNS FROM `think_review` [ RunTime:0.003658s ]
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | SQL: SELECT * FROM `think_review` WHERE ( `articlename` LIKE 'CSS Sprites+CSS3 Icon Font' )  [ RunTime:0.000286s ]
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | SQL: UPDATE `think_article` SET `sum`=sum+1 WHERE id=1 [ RunTime:0.013744s ]
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | INFO: Tag[ view_template ] --START--
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | INFO: Run LocationTemplate Behavior [ RunTime:0.000716s ]
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | INFO: Tag[ view_template ] --END-- [ RunTime:0.000833s ]
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | INFO: Tag[ view_parse ] --START--
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T12:15:52+08:00 ] /xxx/admin.php/Article/look/title/CSS%20Sprites+CSS3%20Icon%20Font/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
