[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Tag[ route_check ] --START--
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Run CheckRoute Behavior [ RunTime:0.001085s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001244s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Tag[ app_begin ] --START--
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000919s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001026s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | SQL: SHOW COLUMNS FROM `think_admin` [ RunTime:0.003138s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | SQL: UPDATE `think_admin` SET `sum`=sum+1 WHERE ( `username` LIKE 'jingwhale' ) [ RunTime:0.000565s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | SQL: SHOW COLUMNS FROM `think_news` [ RunTime:0.003375s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | SQL: INSERT INTO `think_news` (`id`,`subject`,`message`,`author`,`createtime`,`lastmodifytime`) VALUES ('','ffqfw','<p>dgsgsg<br /></p>','jingwhale','2015-02-12','2015-02-12 16:59:12') [ RunTime:0.000280s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Tag[ view_template ] --START--
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Run LocationTemplate Behavior [ RunTime:0.001056s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.001172s ]
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | INFO: Tag[ view_parse ] --START--
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:59:12+08:00 ] /xxx/admin.php/News/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
