[ 2015-02-10T19:18:09+08:00 ] /xxx/index.php/ | ERR: (ThinkException) Base 'tab' inconnue
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001354s ]
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001513s ]
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001167s ]
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001280s ]
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.003413s ]
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | SQL: SELECT `id`,`subject`,`message`,`createtime` FROM `think_article` ORDER BY id desc  [ RunTime:0.000384s ]
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | INFO: Tag[ view_template ] --START--
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003241s ]
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003354s ]
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-10T19:21:31+08:00 ] /xxx/index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
